Locale,Slug,IndexedInGoogle,Title_En,Title_Current
"nl","ibn-sina-wisdom","NO","[Giant of Wisdom] The 'Prince of Scholars' Ibn Sina: The Essence of Intellect Blooming in Chaos","MISSING"
"th","ibn-sina-wisdom","NO","[Giant of Wisdom] The 'Prince of Scholars' Ibn Sina: The Essence of Intellect Blooming in Chaos","MISSING"
"tr","ibn-sina-wisdom","NO","[Giant of Wisdom] The 'Prince of Scholars' Ibn Sina: The Essence of Intellect Blooming in Chaos","MISSING"
"vi","ibn-sina-wisdom","NO","[Giant of Wisdom] The 'Prince of Scholars' Ibn Sina: The Essence of Intellect Blooming in Chaos","MISSING"
"zh","ibn-sina-wisdom","NO","[Giant of Wisdom] The 'Prince of Scholars' Ibn Sina: The Essence of Intellect Blooming in Chaos","MISSING"
"ar","ibn-al-haytham-wisdom","NO","Ibn al-Haytham: The Father of Modern Optics Who Unveiled the Essence of Light in the Dark","MISSING"
"fa","ibn-al-haytham-wisdom","NO","Ibn al-Haytham: The Father of Modern Optics Who Unveiled the Essence of Light in the Dark","MISSING"
"hi","ibn-al-haytham-wisdom","NO","Ibn al-Haytham: The Father of Modern Optics Who Unveiled the Essence of Light in the Dark","MISSING"
"nl","ibn-al-haytham-wisdom","NO","Ibn al-Haytham: The Father of Modern Optics Who Unveiled the Essence of Light in the Dark","MISSING"
"th","ibn-al-haytham-wisdom","NO","Ibn al-Haytham: The Father of Modern Optics Who Unveiled the Essence of Light in the Dark","MISSING"
"tr","ibn-al-haytham-wisdom","NO","Ibn al-Haytham: The Father of Modern Optics Who Unveiled the Essence of Light in the Dark","MISSING"
"vi","ibn-al-haytham-wisdom","NO","Ibn al-Haytham: The Father of Modern Optics Who Unveiled the Essence of Light in the Dark","MISSING"
"zh","ibn-al-haytham-wisdom","NO","Ibn al-Haytham: The Father of Modern Optics Who Unveiled the Essence of Light in the Dark","MISSING"
"ar","rumi-wisdom","NO","The Poet of Divine Love and Healing: The Soul-Awakening Wisdom of Rumi","MISSING"
"fa","rumi-wisdom","NO","The Poet of Divine Love and Healing: The Soul-Awakening Wisdom of Rumi","MISSING"
"hi","rumi-wisdom","NO","The Poet of Divine Love and Healing: The Soul-Awakening Wisdom of Rumi","MISSING"
"nl","rumi-wisdom","NO","The Poet of Divine Love and Healing: The Soul-Awakening Wisdom of Rumi","MISSING"
"th","rumi-wisdom","NO","The Poet of Divine Love and Healing: The Soul-Awakening Wisdom of Rumi","MISSING"
"tr","rumi-wisdom","NO","The Poet of Divine Love and Healing: The Soul-Awakening Wisdom of Rumi","MISSING"
"vi","rumi-wisdom","NO","The Poet of Divine Love and Healing: The Soul-Awakening Wisdom of Rumi","MISSING"
"zh","rumi-wisdom","NO","The Poet of Divine Love and Healing: The Soul-Awakening Wisdom of Rumi","MISSING"
"ar","omar-khayyam-wisdom","NO","A Mathematician’s Poetry — The Attitude Towards a Finite Life","MISSING"
"fa","omar-khayyam-wisdom","NO","A Mathematician’s Poetry — The Attitude Towards a Finite Life","MISSING"
"hi","omar-khayyam-wisdom","NO","A Mathematician’s Poetry — The Attitude Towards a Finite Life","MISSING"
"id","omar-khayyam-wisdom","YES","A Mathematician’s Poetry — The Attitude Towards a Finite Life","MISSING"
"nl","omar-khayyam-wisdom","NO","A Mathematician’s Poetry — The Attitude Towards a Finite Life","MISSING"
"pl","omar-khayyam-wisdom","YES","A Mathematician’s Poetry — The Attitude Towards a Finite Life","MISSING"
"th","omar-khayyam-wisdom","NO","A Mathematician’s Poetry — The Attitude Towards a Finite Life","MISSING"
"tr","omar-khayyam-wisdom","NO","A Mathematician’s Poetry — The Attitude Towards a Finite Life","MISSING"
"uk","omar-khayyam-wisdom","YES","A Mathematician’s Poetry — The Attitude Towards a Finite Life","MISSING"
"vi","omar-khayyam-wisdom","NO","A Mathematician’s Poetry — The Attitude Towards a Finite Life","MISSING"
"zh","omar-khayyam-wisdom","NO","A Mathematician’s Poetry — The Attitude Towards a Finite Life","MISSING"
"ar","ibn-battuta-wisdom","NO","75,000 Miles in 30 Years — The Worldview of a Man Who Walked the Earth","MISSING"
"fa","ibn-battuta-wisdom","NO","75,000 Miles in 30 Years — The Worldview of a Man Who Walked the Earth","MISSING"
"hi","ibn-battuta-wisdom","NO","75,000 Miles in 30 Years — The Worldview of a Man Who Walked the Earth","MISSING"
"id","ibn-battuta-wisdom","YES","75,000 Miles in 30 Years — The Worldview of a Man Who Walked the Earth","MISSING"
"nl","ibn-battuta-wisdom","NO","75,000 Miles in 30 Years — The Worldview of a Man Who Walked the Earth","MISSING"
"pl","ibn-battuta-wisdom","YES","75,000 Miles in 30 Years — The Worldview of a Man Who Walked the Earth","MISSING"
"th","ibn-battuta-wisdom","NO","75,000 Miles in 30 Years — The Worldview of a Man Who Walked the Earth","MISSING"
"tr","ibn-battuta-wisdom","NO","75,000 Miles in 30 Years — The Worldview of a Man Who Walked the Earth","MISSING"
"uk","ibn-battuta-wisdom","YES","75,000 Miles in 30 Years — The Worldview of a Man Who Walked the Earth","MISSING"
"vi","ibn-battuta-wisdom","NO","75,000 Miles in 30 Years — The Worldview of a Man Who Walked the Earth","MISSING"
"zh","ibn-battuta-wisdom","NO","75,000 Miles in 30 Years — The Worldview of a Man Who Walked the Earth","MISSING"
"ar","mansa-musa-wisdom","NO","The True Purpose of Wealth: Lessons from History's Richest Sovereign","MISSING"
"fa","mansa-musa-wisdom","NO","The True Purpose of Wealth: Lessons from History's Richest Sovereign","MISSING"
"hi","mansa-musa-wisdom","NO","The True Purpose of Wealth: Lessons from History's Richest Sovereign","MISSING"
"id","mansa-musa-wisdom","YES","The True Purpose of Wealth: Lessons from History's Richest Sovereign","MISSING"
"nl","mansa-musa-wisdom","NO","The True Purpose of Wealth: Lessons from History's Richest Sovereign","MISSING"
"pl","mansa-musa-wisdom","YES","The True Purpose of Wealth: Lessons from History's Richest Sovereign","MISSING"
"th","mansa-musa-wisdom","NO","The True Purpose of Wealth: Lessons from History's Richest Sovereign","MISSING"
"tr","mansa-musa-wisdom","NO","The True Purpose of Wealth: Lessons from History's Richest Sovereign","MISSING"
"uk","mansa-musa-wisdom","YES","The True Purpose of Wealth: Lessons from History's Richest Sovereign","MISSING"
"vi","mansa-musa-wisdom","NO","The True Purpose of Wealth: Lessons from History's Richest Sovereign","MISSING"
"zh","mansa-musa-wisdom","NO","The True Purpose of Wealth: Lessons from History's Richest Sovereign","MISSING"
"ar","ashoka-the-great-wisdom","NO","From Conqueror to Compassionate Ruler: How Remorse Forged a New Path","MISSING"
"fa","ashoka-the-great-wisdom","NO","From Conqueror to Compassionate Ruler: How Remorse Forged a New Path","MISSING"
"hi","ashoka-the-great-wisdom","NO","From Conqueror to Compassionate Ruler: How Remorse Forged a New Path","MISSING"
"id","ashoka-the-great-wisdom","YES","From Conqueror to Compassionate Ruler: How Remorse Forged a New Path","MISSING"
"nl","ashoka-the-great-wisdom","NO","From Conqueror to Compassionate Ruler: How Remorse Forged a New Path","MISSING"
"pl","ashoka-the-great-wisdom","YES","From Conqueror to Compassionate Ruler: How Remorse Forged a New Path","MISSING"
"th","ashoka-the-great-wisdom","NO","From Conqueror to Compassionate Ruler: How Remorse Forged a New Path","MISSING"
"tr","ashoka-the-great-wisdom","NO","From Conqueror to Compassionate Ruler: How Remorse Forged a New Path","MISSING"
"uk","ashoka-the-great-wisdom","YES","From Conqueror to Compassionate Ruler: How Remorse Forged a New Path","MISSING"
"vi","ashoka-the-great-wisdom","NO","From Conqueror to Compassionate Ruler: How Remorse Forged a New Path","MISSING"
"zh","ashoka-the-great-wisdom","NO","From Conqueror to Compassionate Ruler: How Remorse Forged a New Path","MISSING"
"ar","rabindranath-tagore-wisdom","NO","What is True Education? The Profound Question of Asia's First Nobel Laureate","MISSING"
"fa","rabindranath-tagore-wisdom","NO","What is True Education? The Profound Question of Asia's First Nobel Laureate","MISSING"
"hi","rabindranath-tagore-wisdom","NO","What is True Education? The Profound Question of Asia's First Nobel Laureate","MISSING"
"id","rabindranath-tagore-wisdom","YES","What is True Education? The Profound Question of Asia's First Nobel Laureate","MISSING"
"nl","rabindranath-tagore-wisdom","NO","What is True Education? The Profound Question of Asia's First Nobel Laureate","MISSING"
"pl","rabindranath-tagore-wisdom","YES","What is True Education? The Profound Question of Asia's First Nobel Laureate","MISSING"
"th","rabindranath-tagore-wisdom","NO","What is True Education? The Profound Question of Asia's First Nobel Laureate","MISSING"
"tr","rabindranath-tagore-wisdom","NO","What is True Education? The Profound Question of Asia's First Nobel Laureate","MISSING"
"uk","rabindranath-tagore-wisdom","YES","What is True Education? The Profound Question of Asia's First Nobel Laureate","MISSING"
"vi","rabindranath-tagore-wisdom","NO","What is True Education? The Profound Question of Asia's First Nobel Laureate","MISSING"
"zh","rabindranath-tagore-wisdom","NO","What is True Education? The Profound Question of Asia's First Nobel Laureate","MISSING"
"ar","simon-bolivar-wisdom","NO","Enduring the Disillusionment of Liberation: Simón Bolívar's Philosophy of Solitary Triumph","MISSING"
"fa","simon-bolivar-wisdom","NO","Enduring the Disillusionment of Liberation: Simón Bolívar's Philosophy of Solitary Triumph","MISSING"
"hi","simon-bolivar-wisdom","NO","Enduring the Disillusionment of Liberation: Simón Bolívar's Philosophy of Solitary Triumph","MISSING"
"id","simon-bolivar-wisdom","YES","Enduring the Disillusionment of Liberation: Simón Bolívar's Philosophy of Solitary Triumph","MISSING"
"nl","simon-bolivar-wisdom","NO","Enduring the Disillusionment of Liberation: Simón Bolívar's Philosophy of Solitary Triumph","MISSING"
"pl","simon-bolivar-wisdom","YES","Enduring the Disillusionment of Liberation: Simón Bolívar's Philosophy of Solitary Triumph","MISSING"
"th","simon-bolivar-wisdom","NO","Enduring the Disillusionment of Liberation: Simón Bolívar's Philosophy of Solitary Triumph","MISSING"
"tr","simon-bolivar-wisdom","NO","Enduring the Disillusionment of Liberation: Simón Bolívar's Philosophy of Solitary Triumph","MISSING"
"uk","simon-bolivar-wisdom","YES","Enduring the Disillusionment of Liberation: Simón Bolívar's Philosophy of Solitary Triumph","MISSING"
"vi","simon-bolivar-wisdom","NO","Enduring the Disillusionment of Liberation: Simón Bolívar's Philosophy of Solitary Triumph","MISSING"
"zh","simon-bolivar-wisdom","NO","Enduring the Disillusionment of Liberation: Simón Bolívar's Philosophy of Solitary Triumph","MISSING"
"ar","al-biruni-wisdom","NO","The Objective Gaze: What Al-Biruni's Tolerance and Intellect Ask of Us Today","MISSING"
"fa","al-biruni-wisdom","NO","The Objective Gaze: What Al-Biruni's Tolerance and Intellect Ask of Us Today","MISSING"
"hi","al-biruni-wisdom","NO","The Objective Gaze: What Al-Biruni's Tolerance and Intellect Ask of Us Today","MISSING"
"id","al-biruni-wisdom","YES","The Objective Gaze: What Al-Biruni's Tolerance and Intellect Ask of Us Today","MISSING"
"nl","al-biruni-wisdom","NO","The Objective Gaze: What Al-Biruni's Tolerance and Intellect Ask of Us Today","MISSING"
"pl","al-biruni-wisdom","YES","The Objective Gaze: What Al-Biruni's Tolerance and Intellect Ask of Us Today","MISSING"
"th","al-biruni-wisdom","NO","The Objective Gaze: What Al-Biruni's Tolerance and Intellect Ask of Us Today","MISSING"
"tr","al-biruni-wisdom","NO","The Objective Gaze: What Al-Biruni's Tolerance and Intellect Ask of Us Today","MISSING"
"uk","al-biruni-wisdom","YES","The Objective Gaze: What Al-Biruni's Tolerance and Intellect Ask of Us Today","MISSING"
"vi","al-biruni-wisdom","NO","The Objective Gaze: What Al-Biruni's Tolerance and Intellect Ask of Us Today","MISSING"
"zh","al-biruni-wisdom","NO","The Objective Gaze: What Al-Biruni's Tolerance and Intellect Ask of Us Today","MISSING"
"ar","ibn-arabi-wisdom","NO","The Inner Map — Ibn Arabi, the Sufi Who Pondered Existence","MISSING"
"fa","ibn-arabi-wisdom","NO","The Inner Map — Ibn Arabi, the Sufi Who Pondered Existence","MISSING"
"hi","ibn-arabi-wisdom","NO","The Inner Map — Ibn Arabi, the Sufi Who Pondered Existence","MISSING"
"id","ibn-arabi-wisdom","YES","The Inner Map — Ibn Arabi, the Sufi Who Pondered Existence","MISSING"
"nl","ibn-arabi-wisdom","NO","The Inner Map — Ibn Arabi, the Sufi Who Pondered Existence","MISSING"
"pl","ibn-arabi-wisdom","YES","The Inner Map — Ibn Arabi, the Sufi Who Pondered Existence","MISSING"
"th","ibn-arabi-wisdom","NO","The Inner Map — Ibn Arabi, the Sufi Who Pondered Existence","MISSING"
"tr","ibn-arabi-wisdom","NO","The Inner Map — Ibn Arabi, the Sufi Who Pondered Existence","MISSING"
"uk","ibn-arabi-wisdom","YES","The Inner Map — Ibn Arabi, the Sufi Who Pondered Existence","MISSING"
"vi","ibn-arabi-wisdom","NO","The Inner Map — Ibn Arabi, the Sufi Who Pondered Existence","MISSING"
"zh","ibn-arabi-wisdom","NO","The Inner Map — Ibn Arabi, the Sufi Who Pondered Existence","MISSING"
"ar","saadi-shirazi-wisdom","NO","Saadi Shirazi's Wisdom: Humanity as Limbs of One Body — The Ethics of Empathy","MISSING"
"fa","saadi-shirazi-wisdom","NO","Saadi Shirazi's Wisdom: Humanity as Limbs of One Body — The Ethics of Empathy","MISSING"
"hi","saadi-shirazi-wisdom","NO","Saadi Shirazi's Wisdom: Humanity as Limbs of One Body — The Ethics of Empathy","MISSING"
"id","saadi-shirazi-wisdom","YES","Saadi Shirazi's Wisdom: Humanity as Limbs of One Body — The Ethics of Empathy","MISSING"
"nl","saadi-shirazi-wisdom","NO","Saadi Shirazi's Wisdom: Humanity as Limbs of One Body — The Ethics of Empathy","MISSING"
"pl","saadi-shirazi-wisdom","YES","Saadi Shirazi's Wisdom: Humanity as Limbs of One Body — The Ethics of Empathy","MISSING"
"th","saadi-shirazi-wisdom","NO","Saadi Shirazi's Wisdom: Humanity as Limbs of One Body — The Ethics of Empathy","MISSING"
"tr","saadi-shirazi-wisdom","NO","Saadi Shirazi's Wisdom: Humanity as Limbs of One Body — The Ethics of Empathy","MISSING"
"uk","saadi-shirazi-wisdom","YES","Saadi Shirazi's Wisdom: Humanity as Limbs of One Body — The Ethics of Empathy","MISSING"
"vi","saadi-shirazi-wisdom","NO","Saadi Shirazi's Wisdom: Humanity as Limbs of One Body — The Ethics of Empathy","MISSING"
"zh","saadi-shirazi-wisdom","NO","Saadi Shirazi's Wisdom: Humanity as Limbs of One Body — The Ethics of Empathy","MISSING"
"ar","mimar-sinan-wisdom","NO","The Architect Who Mastered Time: Mimar Sinan's 80-Year Journey to Perfection","MISSING"
"fa","mimar-sinan-wisdom","NO","The Architect Who Mastered Time: Mimar Sinan's 80-Year Journey to Perfection","MISSING"
"hi","mimar-sinan-wisdom","NO","The Architect Who Mastered Time: Mimar Sinan's 80-Year Journey to Perfection","MISSING"
"id","mimar-sinan-wisdom","YES","The Architect Who Mastered Time: Mimar Sinan's 80-Year Journey to Perfection","MISSING"
"nl","mimar-sinan-wisdom","NO","The Architect Who Mastered Time: Mimar Sinan's 80-Year Journey to Perfection","MISSING"
"pl","mimar-sinan-wisdom","YES","The Architect Who Mastered Time: Mimar Sinan's 80-Year Journey to Perfection","MISSING"
"th","mimar-sinan-wisdom","NO","The Architect Who Mastered Time: Mimar Sinan's 80-Year Journey to Perfection","MISSING"
"tr","mimar-sinan-wisdom","NO","The Architect Who Mastered Time: Mimar Sinan's 80-Year Journey to Perfection","MISSING"
"uk","mimar-sinan-wisdom","YES","The Architect Who Mastered Time: Mimar Sinan's 80-Year Journey to Perfection","MISSING"
"vi","mimar-sinan-wisdom","NO","The Architect Who Mastered Time: Mimar Sinan's 80-Year Journey to Perfection","MISSING"
"zh","mimar-sinan-wisdom","NO","The Architect Who Mastered Time: Mimar Sinan's 80-Year Journey to Perfection","MISSING"
"ar","hannibal-barca-wisdom","NO","The Man Who Forged a Path Through the Blizzard of the Alps","MISSING"
"fa","hannibal-barca-wisdom","NO","The Man Who Forged a Path Through the Blizzard of the Alps","MISSING"
"hi","hannibal-barca-wisdom","NO","The Man Who Forged a Path Through the Blizzard of the Alps","MISSING"
"id","hannibal-barca-wisdom","YES","The Man Who Forged a Path Through the Blizzard of the Alps","MISSING"
"nl","hannibal-barca-wisdom","NO","The Man Who Forged a Path Through the Blizzard of the Alps","MISSING"
"pl","hannibal-barca-wisdom","YES","The Man Who Forged a Path Through the Blizzard of the Alps","MISSING"
"th","hannibal-barca-wisdom","NO","The Man Who Forged a Path Through the Blizzard of the Alps","MISSING"
"tr","hannibal-barca-wisdom","NO","The Man Who Forged a Path Through the Blizzard of the Alps","MISSING"
"uk","hannibal-barca-wisdom","YES","The Man Who Forged a Path Through the Blizzard of the Alps","MISSING"
"vi","hannibal-barca-wisdom","NO","The Man Who Forged a Path Through the Blizzard of the Alps","MISSING"
"zh","hannibal-barca-wisdom","NO","The Man Who Forged a Path Through the Blizzard of the Alps","MISSING"
"ar","ramesses-ii-wisdom","NO","The Pharaoh Who Outlasted Time: What Ramesses II's 67-Year Reign Teaches Us About Endurance","MISSING"
"fa","ramesses-ii-wisdom","NO","The Pharaoh Who Outlasted Time: What Ramesses II's 67-Year Reign Teaches Us About Endurance","MISSING"
"hi","ramesses-ii-wisdom","NO","The Pharaoh Who Outlasted Time: What Ramesses II's 67-Year Reign Teaches Us About Endurance","MISSING"
"id","ramesses-ii-wisdom","YES","The Pharaoh Who Outlasted Time: What Ramesses II's 67-Year Reign Teaches Us About Endurance","MISSING"
"nl","ramesses-ii-wisdom","NO","The Pharaoh Who Outlasted Time: What Ramesses II's 67-Year Reign Teaches Us About Endurance","MISSING"
"pl","ramesses-ii-wisdom","YES","The Pharaoh Who Outlasted Time: What Ramesses II's 67-Year Reign Teaches Us About Endurance","MISSING"
"th","ramesses-ii-wisdom","NO","The Pharaoh Who Outlasted Time: What Ramesses II's 67-Year Reign Teaches Us About Endurance","MISSING"
"tr","ramesses-ii-wisdom","NO","The Pharaoh Who Outlasted Time: What Ramesses II's 67-Year Reign Teaches Us About Endurance","MISSING"
"uk","ramesses-ii-wisdom","YES","The Pharaoh Who Outlasted Time: What Ramesses II's 67-Year Reign Teaches Us About Endurance","MISSING"
"vi","ramesses-ii-wisdom","NO","The Pharaoh Who Outlasted Time: What Ramesses II's 67-Year Reign Teaches Us About Endurance","MISSING"
"zh","ramesses-ii-wisdom","NO","The Pharaoh Who Outlasted Time: What Ramesses II's 67-Year Reign Teaches Us About Endurance","MISSING"
"ar","hatshepsut-wisdom","NO","Hatshepsut: The Architect of Power and the Philosophy of Self-Justification","MISSING"
"fa","hatshepsut-wisdom","NO","Hatshepsut: The Architect of Power and the Philosophy of Self-Justification","MISSING"
"hi","hatshepsut-wisdom","NO","Hatshepsut: The Architect of Power and the Philosophy of Self-Justification","MISSING"
"id","hatshepsut-wisdom","YES","Hatshepsut: The Architect of Power and the Philosophy of Self-Justification","MISSING"
"nl","hatshepsut-wisdom","NO","Hatshepsut: The Architect of Power and the Philosophy of Self-Justification","MISSING"
"pl","hatshepsut-wisdom","YES","Hatshepsut: The Architect of Power and the Philosophy of Self-Justification","MISSING"
"th","hatshepsut-wisdom","NO","Hatshepsut: The Architect of Power and the Philosophy of Self-Justification","MISSING"
"tr","hatshepsut-wisdom","NO","Hatshepsut: The Architect of Power and the Philosophy of Self-Justification","MISSING"
"uk","hatshepsut-wisdom","YES","Hatshepsut: The Architect of Power and the Philosophy of Self-Justification","MISSING"
"vi","hatshepsut-wisdom","NO","Hatshepsut: The Architect of Power and the Philosophy of Self-Justification","MISSING"
"zh","hatshepsut-wisdom","NO","Hatshepsut: The Architect of Power and the Philosophy of Self-Justification","MISSING"
"ar","zenobia-wisdom","NO","Zenobia: The Desert Queen Who Defied an Empire and Redefined Leadership","MISSING"
"fa","zenobia-wisdom","NO","Zenobia: The Desert Queen Who Defied an Empire and Redefined Leadership","MISSING"
"hi","zenobia-wisdom","NO","Zenobia: The Desert Queen Who Defied an Empire and Redefined Leadership","MISSING"
"id","zenobia-wisdom","YES","Zenobia: The Desert Queen Who Defied an Empire and Redefined Leadership","MISSING"
"nl","zenobia-wisdom","NO","Zenobia: The Desert Queen Who Defied an Empire and Redefined Leadership","MISSING"
"pl","zenobia-wisdom","YES","Zenobia: The Desert Queen Who Defied an Empire and Redefined Leadership","MISSING"
"th","zenobia-wisdom","NO","Zenobia: The Desert Queen Who Defied an Empire and Redefined Leadership","MISSING"
"tr","zenobia-wisdom","NO","Zenobia: The Desert Queen Who Defied an Empire and Redefined Leadership","MISSING"
"uk","zenobia-wisdom","YES","Zenobia: The Desert Queen Who Defied an Empire and Redefined Leadership","MISSING"
"vi","zenobia-wisdom","NO","Zenobia: The Desert Queen Who Defied an Empire and Redefined Leadership","MISSING"
"zh","zenobia-wisdom","NO","Zenobia: The Desert Queen Who Defied an Empire and Redefined Leadership","MISSING"
"ar","cyrus-the-great-wisdom","NO","Conquering Nations, Preserving Souls: The Architecture of Tolerance","MISSING"
"el","cyrus-the-great-wisdom","YES","Conquering Nations, Preserving Souls: The Architecture of Tolerance","Conquering Nations, Preserving Souls: The Architecture of Tolerance"
"fa","cyrus-the-great-wisdom","NO","Conquering Nations, Preserving Souls: The Architecture of Tolerance","MISSING"
"hi","cyrus-the-great-wisdom","NO","Conquering Nations, Preserving Souls: The Architecture of Tolerance","MISSING"
"id","cyrus-the-great-wisdom","YES","Conquering Nations, Preserving Souls: The Architecture of Tolerance","MISSING"
"nl","cyrus-the-great-wisdom","NO","Conquering Nations, Preserving Souls: The Architecture of Tolerance","MISSING"
"pl","cyrus-the-great-wisdom","YES","Conquering Nations, Preserving Souls: The Architecture of Tolerance","MISSING"
"th","cyrus-the-great-wisdom","NO","Conquering Nations, Preserving Souls: The Architecture of Tolerance","MISSING"
"tr","cyrus-the-great-wisdom","NO","Conquering Nations, Preserving Souls: The Architecture of Tolerance","MISSING"
"uk","cyrus-the-great-wisdom","YES","Conquering Nations, Preserving Souls: The Architecture of Tolerance","MISSING"
"vi","cyrus-the-great-wisdom","NO","Conquering Nations, Preserving Souls: The Architecture of Tolerance","MISSING"
"zh","cyrus-the-great-wisdom","NO","Conquering Nations, Preserving Souls: The Architecture of Tolerance","MISSING"
"ar","maimonides-wisdom","NO","Doctor by Day, Philosopher by Night: Maimonides and the Art of Living Two Lives","MISSING"
"fa","maimonides-wisdom","NO","Doctor by Day, Philosopher by Night: Maimonides and the Art of Living Two Lives","MISSING"
"hi","maimonides-wisdom","NO","Doctor by Day, Philosopher by Night: Maimonides and the Art of Living Two Lives","MISSING"
"id","maimonides-wisdom","YES","Doctor by Day, Philosopher by Night: Maimonides and the Art of Living Two Lives","MISSING"
"nl","maimonides-wisdom","NO","Doctor by Day, Philosopher by Night: Maimonides and the Art of Living Two Lives","MISSING"
"pl","maimonides-wisdom","YES","Doctor by Day, Philosopher by Night: Maimonides and the Art of Living Two Lives","MISSING"
"th","maimonides-wisdom","NO","Doctor by Day, Philosopher by Night: Maimonides and the Art of Living Two Lives","MISSING"
"tr","maimonides-wisdom","NO","Doctor by Day, Philosopher by Night: Maimonides and the Art of Living Two Lives","MISSING"
"uk","maimonides-wisdom","YES","Doctor by Day, Philosopher by Night: Maimonides and the Art of Living Two Lives","MISSING"
"vi","maimonides-wisdom","NO","Doctor by Day, Philosopher by Night: Maimonides and the Art of Living Two Lives","MISSING"
"zh","maimonides-wisdom","NO","Doctor by Day, Philosopher by Night: Maimonides and the Art of Living Two Lives","MISSING"
"ar","suleiman-the-magnificent-wisdom","NO","Building an Empire with Law: The Governing Philosophy of Suleiman the Magnificent","MISSING"
"fa","suleiman-the-magnificent-wisdom","NO","Building an Empire with Law: The Governing Philosophy of Suleiman the Magnificent","MISSING"
"hi","suleiman-the-magnificent-wisdom","NO","Building an Empire with Law: The Governing Philosophy of Suleiman the Magnificent","MISSING"
"id","suleiman-the-magnificent-wisdom","YES","Building an Empire with Law: The Governing Philosophy of Suleiman the Magnificent","MISSING"
"nl","suleiman-the-magnificent-wisdom","NO","Building an Empire with Law: The Governing Philosophy of Suleiman the Magnificent","MISSING"
"pl","suleiman-the-magnificent-wisdom","YES","Building an Empire with Law: The Governing Philosophy of Suleiman the Magnificent","MISSING"
"th","suleiman-the-magnificent-wisdom","NO","Building an Empire with Law: The Governing Philosophy of Suleiman the Magnificent","MISSING"
"tr","suleiman-the-magnificent-wisdom","NO","Building an Empire with Law: The Governing Philosophy of Suleiman the Magnificent","MISSING"
"uk","suleiman-the-magnificent-wisdom","YES","Building an Empire with Law: The Governing Philosophy of Suleiman the Magnificent","MISSING"
"vi","suleiman-the-magnificent-wisdom","NO","Building an Empire with Law: The Governing Philosophy of Suleiman the Magnificent","MISSING"
"zh","suleiman-the-magnificent-wisdom","NO","Building an Empire with Law: The Governing Philosophy of Suleiman the Magnificent","MISSING"
"ar","saladin-wisdom","NO","A Victory Greater Than Conquest: The Magnanimity of Saladin","MISSING"
"fa","saladin-wisdom","NO","A Victory Greater Than Conquest: The Magnanimity of Saladin","MISSING"
"hi","saladin-wisdom","NO","A Victory Greater Than Conquest: The Magnanimity of Saladin","MISSING"
"id","saladin-wisdom","YES","A Victory Greater Than Conquest: The Magnanimity of Saladin","MISSING"
"nl","saladin-wisdom","NO","A Victory Greater Than Conquest: The Magnanimity of Saladin","MISSING"
"pl","saladin-wisdom","YES","A Victory Greater Than Conquest: The Magnanimity of Saladin","MISSING"
"th","saladin-wisdom","NO","A Victory Greater Than Conquest: The Magnanimity of Saladin","MISSING"
"tr","saladin-wisdom","NO","A Victory Greater Than Conquest: The Magnanimity of Saladin","MISSING"
"uk","saladin-wisdom","YES","A Victory Greater Than Conquest: The Magnanimity of Saladin","MISSING"
"vi","saladin-wisdom","NO","A Victory Greater Than Conquest: The Magnanimity of Saladin","MISSING"
"zh","saladin-wisdom","NO","A Victory Greater Than Conquest: The Magnanimity of Saladin","MISSING"
"ar","al-farabi-wisdom","NO","The Second Teacher: Establishing Order in the Chaos of Learning","MISSING"
"fa","al-farabi-wisdom","NO","The Second Teacher: Establishing Order in the Chaos of Learning","MISSING"
"hi","al-farabi-wisdom","NO","The Second Teacher: Establishing Order in the Chaos of Learning","MISSING"
"id","al-farabi-wisdom","YES","The Second Teacher: Establishing Order in the Chaos of Learning","MISSING"
"nl","al-farabi-wisdom","NO","The Second Teacher: Establishing Order in the Chaos of Learning","MISSING"
"pl","al-farabi-wisdom","YES","The Second Teacher: Establishing Order in the Chaos of Learning","MISSING"
"th","al-farabi-wisdom","NO","The Second Teacher: Establishing Order in the Chaos of Learning","MISSING"
"tr","al-farabi-wisdom","NO","The Second Teacher: Establishing Order in the Chaos of Learning","MISSING"
"uk","al-farabi-wisdom","YES","The Second Teacher: Establishing Order in the Chaos of Learning","MISSING"
"vi","al-farabi-wisdom","NO","The Second Teacher: Establishing Order in the Chaos of Learning","MISSING"
"zh","al-farabi-wisdom","NO","The Second Teacher: Establishing Order in the Chaos of Learning","MISSING"
"ar","al-khwarizmi-wisdom","NO","The Man Who Became the ""Algorithm"": Turning Chaos into Procedure","MISSING"
"fa","al-khwarizmi-wisdom","NO","The Man Who Became the ""Algorithm"": Turning Chaos into Procedure","MISSING"
"hi","al-khwarizmi-wisdom","NO","The Man Who Became the ""Algorithm"": Turning Chaos into Procedure","MISSING"
"id","al-khwarizmi-wisdom","YES","The Man Who Became the ""Algorithm"": Turning Chaos into Procedure","MISSING"
"nl","al-khwarizmi-wisdom","NO","The Man Who Became the ""Algorithm"": Turning Chaos into Procedure","MISSING"
"pl","al-khwarizmi-wisdom","YES","The Man Who Became the ""Algorithm"": Turning Chaos into Procedure","MISSING"
"th","al-khwarizmi-wisdom","NO","The Man Who Became the ""Algorithm"": Turning Chaos into Procedure","MISSING"
"tr","al-khwarizmi-wisdom","NO","The Man Who Became the ""Algorithm"": Turning Chaos into Procedure","MISSING"
